SourcePort,DestinationPort,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
50749,443,95.08155,62311,655.3427032,65358,687.3888783,7474.676771,86.45621303,135.6737513,102.0,54,1.168467256,0.944683424,0.637236106,670.5858142,25.89567173,45.06527704,48.811292,1.49506,-0.43397387,1.682528938,0.574625819,0.001053454,0.032456951,0.027624168,0.026854,0.026822,0.071186682,0.024714815,1.174947648,Benign
50749,443,122.309318,93828,767.1369732,101232,827.6720176,10458.1186,102.2649432,141.2454743,114.0,54,0.799261412,0.853131793,0.724022796,708.4658776,26.61702233,52.28790285,48.830314,31.719656,0.389704243,0.772747853,0.509047425,0.001169641,0.034200013,0.024387092,0.0210435,0.026981,0.293297421,-0.07584524,1.402381756,Benign
50749,443,120.958413,38784,320.6391274,38236,316.1086447,7300.293933,85.44175755,133.7152778,89.0,54,1.570026614,0.932977973,0.638982762,1358.911235,36.86341322,50.31611371,39.770747,0.417528,0.8581978,1.353607313,0.732636337,0.000785155,0.028020624,0.029238467,0.0269215,0.026855,0.248063714,0.085061157,0.958347923,Benign
50224,443,127.502031,952325,7469.096708,1334141,10463.6843,21708.41613,147.3377621,178.7698202,165.0,165,0.280372526,0.093457509,0.824175814,1036.272948,32.19119364,53.2370604,50.896862,0.0,0.218090553,1.653777148,0.604676393,0.001299311,0.036045954,0.01240731,0.007977,2.3e-05,0.368721827,0.343570045,2.905219095,Malicious
50230,443,36.109819,17234,477.2663081,28476,788.594371,19924.29061,141.1534293,157.6206897,165.0,68,-0.156835942,0.634916843,0.895526023,27.87837282,5.279997426,3.037201041,2.0487055,0.0,0.561645468,0.57522775,1.73844186,0.01474346,0.121422649,0.034107563,0.01533,0.000341,0.463938895,0.278091142,3.559991911,Malicious
50232,443,120.044984,177479,1478.43745,388205,3233.829412,10822.04623,104.0290643,177.7203896,165.0,68,0.366831798,1.054708992,0.585352444,1264.292491,35.55689091,59.13091518,59.120644,0.0,0.000866598,1.662994533,0.601324887,9.752e-05,0.009875223,0.016724565,0.015431,0.015272,0.39297284,0.147091849,0.590462178,Malicious
443,50224,14.978902,346,23.0991564,228,15.22140942,805.7142857,28.38510676,82.0,68.0,68,1.479649182,0.493216394,0.346159839,27.42684897,5.23706492,12.82813029,14.963575,0.0,-1.223268041,2.449488498,0.408248498,5.29e-10,2.3e-05,5.1e-05,5.1e-05,2.8e-05,0.0,1.0,0.450980392,Malicious
50232,443,110.474569,156057,1412.605647,345058,3123.41567,10108.6971,100.5420166,178.7780949,165.0,68,0.411114538,1.101808962,0.562384428,1030.275669,32.09790755,56.20682254,57.549461,0.0,-0.12548841,1.751105503,0.571067819,0.000121283,0.011012834,0.017521275,0.015522,0.015398,0.544621444,0.192800072,0.628540661,Malicious
33926,443,121.150106,42773,353.0578834,72102,595.1459919,13364.25937,115.6038899,125.2726281,87.0,56,0.993200873,0.599224024,0.922818429,981.8788891,31.33494677,64.13404853,65.521304,0.0,-0.132815493,2.046725945,0.488585198,0.365111567,0.604244626,0.156678538,0.0019375,5e-06,0.76827016,0.259288261,3.856588346,Malicious
443,33926,120.653838,78776,652.909193,46073,381.8610395,7979.98265,89.33074862,121.5666991,87.0,87,1.160855573,0.386951858,0.734829104,1199.921257,34.63987958,56.37114102,55.775982,0.0,0.051543974,1.627348066,0.61449669,8.72e-09,9.33601e-05,5.37617e-05,3.7e-05,2.8e-05,0.538614371,0.27593902,1.736554534,Malicious
443,33926,120.71868,78719,652.0863217,46047,381.4405525,8141.129962,90.22821046,121.6042885,87.0,87,1.150558844,0.383519615,0.741982142,1213.045827,34.82880743,56.54462935,55.779799,0.0,0.065879117,1.623501737,0.615952529,8.74e-07,0.000934731,0.000110021,3.2e-05,2.4e-05,0.25040834,0.092028061,8.495894942,Malicious
443,33926,120.645723,78808,653.2183491,46118,382.2597176,8648.83376,92.99910623,122.4764706,87.0,87,1.144413275,0.381471092,0.759322226,1247.963251,35.32652333,54.65793341,55.694161,0.0,-0.087998548,1.547220849,0.646320143,1.55839e-06,0.001248356,0.000127661,3.5e-05,2.5e-05,0.222679202,0.082236938,9.778680762,Malicious
443,33926,120.652326,77281,640.5263998,46015,381.3851048,11417.27333,106.8516417,125.300813,87.0,87,1.075345565,0.358448522,0.852760961,1192.584516,34.533817,58.20528745,55.9657125,0.0,0.194554945,1.685457691,0.593310651,1.06e-09,3.24953e-05,4.36336e-05,3.35e-05,1.7e-05,0.935545044,0.819613331,0.744731879,Malicious
443,33926,30.951614,23514,759.7019012,13884,448.5711149,8107.633456,90.0423981,121.0291262,87.0,87,1.133770099,0.377923366,0.743972967,104.4028286,10.21777024,14.27304807,15.469587,0.0,-0.351311168,1.396884813,0.71587864,3.64e-08,0.00019075,7.51429e-05,3.7e-05,2.1e-05,0.599889169,0.283842691,2.538491718,Malicious
50749,443,110.50108,61993,561.0171412,69757,631.2788979,8499.282518,92.1915534,139.123548,114.0,54,0.817543922,0.923333482,0.662659591,1118.135436,33.43853221,51.69372612,34.882495,13.280934,1.508250812,1.148758321,0.646858617,0.000411045,0.020274253,0.019924878,0.019268,0.026918,0.097198893,-0.344926237,1.017534581,Benign
443,50749,54.229891,83641,1542.341289,76804,1416.266907,8052.745751,89.73709239,138.9134199,114.0,114,0.832880337,0.277626779,0.645992968,341.6966133,18.48503755,36.43561879,49.822561,7.342519,-2.172612661,1.573872907,0.507334256,0.079078661,0.281209284,0.025930264,4.65e-05,2.1e-05,0.276133458,0.092135166,10.84482918,Benign
52491,443,145.460721,54084,371.811714,63843,438.9019906,16074.98073,126.7871473,141.0610048,89.0,54,1.231852105,0.686670586,0.898810749,1519.784705,38.98441619,52.96258765,47.4924405,53.808413,0.420948755,-0.021696499,0.736074613,0.000643045,0.025358333,0.025074989,0.026813,0.026903,-0.205614226,-0.072087204,1.011299896,Benign
